sigungu,component,raw_score,weight,contribution_score,final_water_risk_score
홍성군,작물 물수요,60.18841002708166,0.2,12.037682005416332,27.77767670795009
홍성군,대체 수원 부족도,76.9889418635513,0.1,7.698894186355131,27.77767670795009
공주시,강우 부족도,0.0,0.25,0.0,27.63335036807564
공주시,저수율 위험도,10.491666666666674,0.25,2.6229166666666686,27.63335036807564
공주시,관정 의존도,57.37706224933694,0.2,11.475412449867388,27.63335036807564
공주시,작물 물수요,46.36363738237635,0.2,9.272727476475271,27.63335036807564
공주시,대체 수원 부족도,42.62293775066306,0.1,4.262293775066307,27.63335036807564
예산군,강우 부족도,3.5,0.25,0.875,25.918204251683136
예산군,저수율 위험도,9.176923076923076,0.25,2.294230769230769,25.918204251683136
예산군,관정 의존도,10.112964286370762,0.2,2.0225928572741525,25.918204251683136
예산군,작물 물수요,58.68838526907645,0.2,11.73767705381529,25.918204251683136
예산군,대체 수원 부족도,89.88703571362925,0.1,8.988703571362924,25.918204251683136
서천군,강우 부족도,0.0,0.25,0.0,25.707339741641896
서천군,저수율 위험도,2.9625000000000057,0.25,0.7406250000000014,25.707339741641896
서천군,관정 의존도,15.698392215438574,0.2,3.139678443087715,25.707339741641896
서천군,작물 물수요,66.98437760049016,0.2,13.396875520098034,25.707339741641896
서천군,대체 수원 부족도,84.30160778456143,0.1,8.430160778456143,25.707339741641896
아산시,강우 부족도,0.0,0.25,0.0,25.42061510730572
아산시,저수율 위험도,4.016666666666666,0.25,1.0041666666666664,25.42061510730572
아산시,관정 의존도,14.166488203732897,0.2,2.8332976407465793,25.42061510730572
아산시,작물 물수요,64.99899810132882,0.2,12.999799620265765,25.42061510730572
아산시,대체 수원 부족도,85.8335117962671,0.1,8.58335117962671,25.42061510730572
계룡시,강우 부족도,0.0,0.25,0.0,25.10829933716836
계룡시,저수율 위험도,50.0,0.25,12.5,25.10829933716836
계룡시,관정 의존도,4.096040883627103,0.2,0.8192081767254207,25.10829933716836
계룡시,작물 물수요,10.993476244028251,0.2,2.19869524880565,25.10829933716836
계룡시,대체 수원 부족도,95.9039591163729,0.1,9.590395911637291,25.10829933716836
태안군,강우 부족도,2.0,0.25,0.5,23.799270173711136
태안군,저수율 위험도,9.05263157894737,0.25,2.2631578947368425,23.799270173711136
태안군,관정 의존도,6.2283715924751135,0.2,1.2456743184950227,23.799270173711136
태안군,작물 물수요,52.066375598633904,0.2,10.413275119726782,23.799270173711136
태안군,대체 수원 부족도,93.77162840752489,0.1,9.377162840752488,23.799270173711136
천안시,강우 부족도,0.0,0.25,0.0,21.24106528869609
천안시,저수율 위험도,7.179999999999993,0.25,1.7949999999999982,21.24106528869609
천안시,관정 의존도,1.853669814823628,0.2,0.3707339629647256,21.24106528869609
천안시,작물 물수요,46.30349153606864,0.2,9.260698307213728,21.24106528869609
천안시,대체 수원 부족도,98.14633018517635,0.1,9.814633018517636,21.24106528869609
청양군,강우 부족도,0.0,0.25,0.0,19.21760867292617
청양군,저수율 위험도,1.335714285714289,0.25,0.33392857142857224,19.21760867292617
청양군,관정 의존도,12.156649695887264,0.2,2.431329939177453,19.21760867292617
청양군,작물 물수요,38.34007565954436,0.2,7.668015131908873,19.21760867292617
청양군,대체 수원 부족도,87.84335030411273,0.1,8.784335030411274,19.21760867292617
금산군,강우 부족도,0.0,0.25,0.0,19.204248734570253
금산군,저수율 위험도,13.444444444444445,0.25,3.361111111111111,19.204248734570253
금산군,관정 의존도,31.914302420423272,0.2,6.382860484084655,19.204248734570253
금산군,작물 물수요,13.258536907084062,0.2,2.651707381416813,19.204248734570253
금산군,대체 수원 부족도,68.08569757957673,0.1,6.808569757957674,19.204248734570253
