"표준코드","시설명","소재지","착공년도","준공년도","종별","구분","유역면적","홍수면적","만수면적","수혜면적","한발빈도","홍수빈도","제체형식","제체체적","제체길이","제체높이","총저수량","유효저수량","사수량","취수형식","홍수위","만수위","사수위"
"4783010123","사못","경상북도 고령군 개진면 양전리","1944-06-01","1945-12-31","2","보조수원","38","1","1","5","5","100","필댐(죤형)","7661","120","6","24","24","0","사통형","38","37","32"
"4783010125","방아골","경상북도 고령군 개진면 양전리","1969-07-29","1970-12-31","2","보조수원","17","1","1","2","10","100","필댐(죤형)","4241","130","6","11","11","0","사통형","45","44","41"
"4783010126","반운","경상북도 고령군 개진면 반운리","1944-08-01","1945-12-31","2","보조수원","8","1","0","6","5","100","필댐(죤형)","3080","95","5","10","10","0","사통형","42","41","39"
"4783010132","구곡","경상북도 고령군 개진면 구곡리","1944-06-05","1945-12-31","2","보조수원","181","1","1","19","5","100","필댐(죤형)","8218","173","5","20","20","0","사통형","31","30","28"
"4783010134","봉동","경상북도 고령군 개진면 구곡리","1944-07-04","1945-12-31","2","보조수원","55","1","1","0","5","100","필댐(죤형)","3344","62","6","8","8","0","사통형","43","43","40"
"4783010135","적산","경상북도 고령군 개진면 옥산리","1944-08-01","1945-12-31","2","보조수원","25","0","0","3","5","100","필댐(죤형)","1890","30","6","9","9","0","사통형","37","37","35"
"4783010143","속동","경상북도 고령군 우곡면 속리","1984-08-01","1947-12-31","2","보조수원","48","1","1","14","5","100","필댐(죤형)","7371","117","6","22","22","0","사통형","53","52","49"
"4783010144","윗마을","경상북도 고령군 우곡면 속리","1984-08-22","1985-12-31","2","주수원","77","1","1","13","5","100","필댐(죤형)","102960","54","9","24","24","0","사통형","54","53","47"
"4783010145","대평","경상북도 고령군 운수면 대평리","2003-09-24","2008-02-12","1","주수원","150","12","12","78","10","200","필댐(죤형)","96000","132","24","958","840","118","사통형","100","99","84"
"4784010062","운산","경상북도 성주군 용암면 운산리","1971-01-01","1974-01-01","2","보조수원","120","3","1","24","10","200","필댐(죤형)","14700","88","10","73","66","7","사통형","56","55","48"
