시도,시군,시설개수,유역면적(헥타르),수혜면적(헥타르),유효저수량(천세제곱미터),저수율(퍼센트),평년(퍼센트),대비(퍼센트),단계
경남,남해군,49,5561.6,1570.39,10202.3,73.5,76.2,96.5,정상
경남,하동군,22,11979.1,4402.33,41073.4,67.6,69,98,정상
경남,산청군,37,18078.1,2084.7,19851.39,86.6,82.5,105,정상
경남,함양군,13,9760,1886.4,13498.7,77.1,62.7,123,정상
경남,거창군,43,11986,3194.5,21403.5,79.2,67.9,116.6,정상
경남,합천군,85,11028,2523.4,20054.3,73,73.6,99.2,정상
제주,제주시,8,4581,1778.4,2469,18.5,51.4,36,심각
제주,서귀포시,2,9941.5,2697,1348,47.8,52.3,91.4,정상
강원,춘천시,7,5403,838,8450,91.1,71.8,126.9,정상
강원,원주시,15,17370.6,1565.3,11823.1,99.3,81.6,121.7,정상
강원,강릉시,11,24510,2431,26876.9,94.8,82.3,115.2,정상
강원,동해시,0,0,0,0,0,0,100,정상
강원,태백시,0,0,0,0,0,0,100,정상
강원,속초시,1,134.5,0,6.5,85.1,26.9,316.4,정상
강원,삼척시,3,2715,178.8,1330.7,99.1,90.9,109,정상
강원,홍천군,15,8844.9,1184.5,10877.8,83.2,80.2,103.7,정상
강원,횡성군,6,2982,488.1,3452,99.9,89.7,111.4,정상
강원,영월군,0,0,0,0,0,0,100,정상
강원,평창군,2,2610,272.5,1138,94.3,94.5,99.8,정상
강원,정선군,0,0,0,0,0,0,100,정상
강원,철원군,9,15867,4404.6,35067,76.6,86.8,88.2,정상
강원,화천군,0,0,0,0,0,0,100,정상
강원,양구군,2,1600,294,2160,80.4,91.4,88,정상
강원,인제군,0,0,0,0,0,0,100,정상
강원,고성군,6,7918.6,1765.6,12497.6,87.6,81.5,107.5,정상
강원,양양군,2,2358,452.7,2941,100,87.2,114.7,정상
