"시도","시군","시설(개수)","유역면적(ha)","수혜면적(ha)","유효저수량(ha)","저수율","평년","대비","단계"
"전남","곡성군","47","9881","2828","15349.20","91.7","61.6","148.9","관심"
"전남","구례군","49","29202","2682","15486.40","97.5","69.5","140.3","관심"
"전남","고흥군","46","15068","4095","23392.40","81.7","69.2","118.1","관심"
"전남","보성군","25","8146","3063","23264.10","88.8","76.7","115.8","관심"
"전남","화순군","41","15859","4101","28526.30","93.2","60.5","154","관심"
"전남","장흥군","34","10818","3492","22932.40","92.4","63.5","145.5","관심"
"전남","강진군","27","11752","4015","30609","98.3","59.3","165.8","관심"
"전남","해남군","79","16208","5977","36264","91.6","59.5","153.9","관심"
"전남","영암군","139","14977","2171","23078.80","90.2","63.2","142.7","관심"
"전남","무안군","50","5841","802","8207.60","87.8","67.2","130.7","관심"
"전남","함평군","36","11245","1891","16095.20","95.9","61.2","156.7","관심"
"전남","영광군","41","11390","5309","26775.40","92.5","59.8","154.7","관심"
"전남","장성군","50","25066","12563","123717.50","76.6","57.7","132.8","관심"
"전남","완도군","9","2294","517","3280.20","95.2","64.9","146.7","관심"
"전남","진도군","34","7638","2322","13582","91.5","66.8","137","관심"
"전남","신안군","29","3741","1057","6959.90","85.8","72.2","118.8","관심"
"경북","포항시","55","36269","4761","37283","89.1","73.7","120.9","관심"
"경북","경주시","78","46265","7635","69336.60","91.9","65.6","140.1","관심"
"경북","김천시","8","4996","1064","6707.60","96.4","83.9","114.9","관심"
"경북","안동시","17","4787","951","7827.40","98.9","63.7","155.3","관심"
"경북","구미시","23","9429","2000","15534","95.8","75.4","127.1","관심"
"경북","영주시","7","9530","2194","14770.50","88.7","75.4","117.6","관심"
"경북","영천시","92","17731","2009","20449.80","96.2","71.5","134.5","관심"
"경북","상주시","24","25307","3928","27630.70","96.1","70.3","136.7","관심"
"경북","문경시","14","15568","4240","33721.70","85.6","80","107","관심"
"경북","경산시","25","18144","1614","17394.60","81.5","67.9","120","관심"
"경북","군위군","18","3643","563","3147.10","88.3","78.3","112.8","관심"
"경북","의성군","52","13290","2971","25837.70","86.6","52.3","165.6","관심"
"경북","청송군","38","15686","1113","13620.70","94.9","58.7","161.7","관심"
"경북","영양군","25","4729","958","7777.50","92.6","87.3","106.1","관심"
"경북","영덕군","26","12392","2665","19385.70","93.6","66.2","141.4","관심"
"경북","청도군","19","5905","1339","8912.80","90.2","74.1","121.7","관심"
"경북","고령군","37","5755","950","8402.90","96","53.3","180.1","관심"
"경북","성주군","7","19487","4058","36517.80","73.3","62.8","116.7","관심"
"경북","칠곡군","34","10661","1451","10542.80","84.9","79.4","106.9","관심"
"경북","예천군","43","6817","1188","9012.40","97.3","69.3","140.4","관심"
"경북","봉화군","5","6130","850","11926.40","82.7","43.9","188.4","관심"
"경북","울진군","6","10167","501","5011.70","94.7","62.3","152","관심"
"경북","울릉군","0","0","0","0","0","0","100","관심"
"경남","창원시","15","13191","2766","22833.60","83.1","59.2","140.4","관심"
"경남","진주시","38","6386","1899","17866.70","90.2","62.4","144.6","관심"
"경남","통영시","3","752","162","737.2","88.5","77.2","114.6","관심"
"경남","사천시","70","12028","2186","16682.90","83.6","77","108.6","관심"
"경남","김해시","6","802","241","2290.70","100","47","212.8","관심"
"경남","밀양시","38","12853","2762","14545.90","95.6","68.9","138.8","관심"
"경남","거제시","7","3665","583","2206.70","97.2","81.6","119.1","관심"
"경남","양산시","3","1553","340","970.1","84.4","88.9","94.9","관심"
"경남","의령군","39","8120","1749","15110.50","96.6","68.1","141.9","관심"
"경남","함안군","16","5474","1319","6083.40","98.6","62.8","157","관심"
"경남","창녕군","47","15644","2139","12318.40","67.8","69.3","97.8","관심"
"경남","고성군","36","10576","2945","19384.50","86.5","70.9","122","관심"
"경남","남해군","48","5461","1508","9855.10","93.1","71.8","129.7","관심"
"경남","하동군","22","11979","3411","41060.80","80.5","67.3","119.6","관심"
"경남","산청군","35","16124","1662","17952","96.9","81.2","119.3","관심"
"경남","함양군","13","9760","1886","13432.70","99.5","54.6","182.2","관심"
"경남","거창군","42","11576","2984","19680.40","95.3","62.7","152","관심"
"경남","합천군","81","9483","1922","16275.60","88.7","68.7","129.1","관심"
"제주","제주시","3","2403","0","985","86.2","51","169","관심"
"제주","서귀포시","1","9939","400","1050","81","81","100","관심"
