시도,시군,시설개수,유역면적(ha),수혜면적(ha),유효저수량(ha),저수율,평년,대비,단계
경북,경산시,27,18451,2114.1,19809.68,70.25,81.14,86.6,정상
경북,군위군,21,4272.3,754.1,4756.36,87.23,85.9,101.5,정상
경북,의성군,52,13290,2971.7,25837.7,85.35,63.4,134.6,정상
경북,청송군,37,11866,863.15,10520.66,90.7,54.42,166.7,정상
경북,영양군,28,5779.4,1575.6,10882.37,84.85,83.17,102,정상
경북,영덕군,27,14674,2995.6,21476,95.91,76.89,124.7,정상
경북,청도군,21,7346,2075.1,18109.53,72.48,75.76,95.7,정상
경북,고령군,37,5755,950.98,8402.89,83.66,62.12,134.7,정상
경북,성주군,7,19487,4058.9,36430.3,83.61,71.19,117.4,정상
경북,칠곡군,33,10637,1402.9,10539.56,92.75,87.31,106.2,정상
경북,예천군,46,7144.4,1188.4,9666.31,95.12,78.12,121.8,정상
경북,봉화군,5,6166,817.6,11926.41,88.46,55.83,158.4,정상
경북,울진군,6,10167,501.9,5011.7,91.85,71.12,129.1,정상
경북,울릉군,0,0,0,0,0,0,100,정상
경남,창원시,15,13191,2740.7,15876.68,69.01,73.4,94,정상
경남,진주시,38,6386.3,1899.8,17866.69,73.66,72.67,101.4,정상
경남,통영시,3,752,162,737.2,64.36,89.21,72.1,관심
경남,사천시,68,11956,2186.9,17158.86,88.5,82.98,106.7,정상
경남,김해시,6,802,241.8,2290.73,95.52,57.75,165.4,정상
경남,밀양시,39,13223,3000.6,16249.33,82.21,80.86,101.7,정상
경남,거제시,7,3665,583,2353.11,97.38,89.97,108.2,정상
경남,양산시,3,1553,340.55,970.13,98.03,91.99,106.6,정상
경남,의령군,39,8120.3,1749.8,15242.95,73.17,77.22,94.8,정상
경남,함안군,16,5474.3,1319.4,6083.39,94.52,70.7,133.7,정상
경남,창녕군,47,15644.5,2139.6,12318.42,64.29,76.69,83.8,정상
경남,고성군,37,10984,3210.3,23104.47,91.61,84.09,108.9,정상
경남,남해군,48,5461.6,1508.59,9855.07,92.36,84.73,109,정상
경남,하동군,23,12079.1,4543.05,41533.07,74.19,76.27,97.3,정상
경남,산청군,35,16124.1,1662.2,17954.21,81.67,85.01,96.1,정상
경남,함양군,13,9760,1886.4,13511.56,97.83,66.19,147.8,정상
경남,거창군,43,11986,3194.5,21403.54,86.99,73.15,118.9,정상
경남,합천군,83,10577,2272.4,17914.32,82.61,77.63,106.4,정상
제주,제주시,8,4381,2084.1,2455,63.33,49.09,129,정상
제주,서귀포시,1,9937,543,1050,93.8,68.28,137.4,정상
