시도,시군,시설개수,유역면적(ha),수혜면적(ha),유효저수량(천세제곱미터),저수율(퍼센트),평년(퍼센트),대비(퍼센트),단계
경기,가평군,0,0,0,0,0,0,100,정상
경기,양평군,6,3398,477.98,2272.6,87.4,76.5,114.3,정상
강원,춘천시,7,5403,838,8450,84.6,70.4,120.2,정상
강원,원주시,15,17370.6,1565.3,11823.1,85.5,80,106.8,정상
강원,강릉시,11,24510,2431,26876.9,93.1,80.8,115.2,정상
강원,동해시,0,0,0,0,0,0,100,정상
강원,태백시,0,0,0,0,0,0,100,정상
강원,속초시,1,134.5,0,6.5,100,27.7,360.7,정상
강원,삼척시,3,2715,178.8,1330.7,85.5,91.3,93.7,정상
강원,홍천군,15,8844.9,1184.5,10877.8,92.2,78.6,117.3,정상
강원,횡성군,6,2982,488.1,3452,100,87,114.9,정상
강원,영월군,0,0,0,0,0,0,100,정상
강원,평창군,2,2610,272.5,1138,100,94,106.3,정상
강원,정선군,0,0,0,0,0,0,100,정상
강원,철원군,9,15867,4404.6,35067,93.5,85.5,109.3,정상
강원,화천군,0,0,0,0,0,0,100,정상
강원,양구군,2,1600,294,2160,100,93,107.6,정상
강원,인제군,0,0,0,0,0,0,100,정상
강원,고성군,6,7918.6,1765.6,12497.6,88.3,82.7,106.8,정상
강원,양양군,2,2358,452.7,2941,99.5,88.1,113,정상
충북,청주시,17,8199.1,2373.2,14729.58,96.8,83.8,115.5,정상
충북,충주시,20,10987.8,2991,22000.7,96,78.5,122.4,정상
충북,제천시,15,7494,914,5253.7,97.3,92.3,105.4,정상
충북,보은군,18,11923.54,3269.7,27000.9,88.5,62.2,142.3,정상
충북,옥천군,27,8975,1831.1,13153.6,99.3,82,121.1,정상
충북,영동군,19,8285,1297.5,8977.85,98.4,77.2,127.5,정상
충북,증평군,6,1368,476.8,3115.49,96.4,54,178.4,정상
충북,진천군,12,29532,7017.8,54057.75,91.7,77.8,117.8,정상
충북,괴산군,20,7509,2420.1,14918.56,97.1,81.9,118.5,정상
충북,음성군,31,11704,4160,31785.69,94.1,82,114.8,정상
충북,단양군,1,220,54,209,100,95.9,104.3,정상
충남,천안시,20,8281,2323.3,11580,97,82.1,118.1,정상
충남,공주시,12,7962,2272.4,19349.77,98.2,71,138.3,정상
충남,보령시,30,13115,4375.9,30028.8,91.5,81.6,112.1,정상
충남,아산시,18,15448.4,4906.4,25788.2,99.5,86.2,115.5,정상
충남,서산시,16,12460,4801.2,28669.73,90.2,81.6,110.5,정상
충남,논산시,25,24521.7,6407.9,38116.2,91.2,79.5,114.7,정상
충남,계룡시,0,0,0,0,0,0,100,정상
충남,당진시,10,6222,1088,5581.7,84.7,81.3,104.2,정상
충남,금산군,9,3442.6,685.4,5557.2,99.6,71.3,139.6,정상
충남,부여군,11,8114.8,3391.6,21908.4,98.6,76.1,129.6,정상
충남,서천군,7,9262,5336,25397.5,100,80,125.1,정상
충남,청양군,28,8519.7,3513.6,24799.2,98.6,79,124.8,정상
충남,홍성군,9,7372,1802.4,10429.2,92.4,79.4,116.4,정상
충남,예산군,13,42751,8659,59873.6,89.7,84.6,106,정상
충남,태안군,18,4773,1695.6,8995.2,95.8,88.2,108.6,정상
전북,전주시,6,12716.1,822.4,3860.4,71.1,70.7,100.6,정상
전북,군산시,25,2117.7,4682,24287.8,67.4,70.7,95.3,정상
전북,익산시,27,4490.5,1806.9,6802.3,96.5,81.6,118.3,정상
전북,정읍시,28,8901.4,3625.4,27425.7,92.1,63.9,144.3,정상
전북,남원시,77,8452,2535.7,16719.03,85.5,69.2,123.5,정상
전북,김제시,23,6849,2585.7,22896.9,83.3,70.3,118.5,정상
전북,완주군,39,42692.2,21965.4,113519.8,81.4,58.2,140,정상
전북,진안군,24,6951.6,1109.2,13507.84,88.2,52.9,166.7,정상
전북,무주군,9,8140,1125.1,9136.54,84.3,60,140.4,정상
전북,장수군,34,20060.9,6449.7,66569.72,88.6,62,142.9,정상
전북,임실군,35,85114,32708.6,279405,98.9,79.7,124.2,정상
전북,순창군,37,17409.8,2820.2,17269.4,85.5,64.8,132.1,정상
전북,고창군,37,20589.5,9086.2,43130.7,74.3,71.6,103.8,정상
전북,부안군,21,5112.9,5395.1,29661.6,72.6,68.7,105.7,정상
전남,목포시,0,0,0,0,0,0,100,정상
전남,여수시,18,4248,1239.74,6086.5,89.9,77.3,116.3,정상
전남,순천시,20,5610.6,1586.6,7328.5,87.7,78.5,111.7,정상
전남,나주시,162,25746.6,9589.6,123981.8,66,55.4,119.2,정상
전남,광양시,10,6248.8,1382.8,6357.3,72.4,82.9,87.3,정상
전남,담양군,47,17382,9536,98414.6,80,59.2,135.1,정상
전남,곡성군,48,12108.1,3798.43,21571.96,92,58.1,158.3,정상
전남,구례군,49,29202.7,2802.3,15444.7,79.8,71.8,111.1,정상
전남,고흥군,47,15102.2,4321.5,24321.4,86.4,71.1,121.4,정상
전남,보성군,27,8408.2,3240.4,24066,76.9,77.8,98.8,정상
전남,화순군,43,16785.8,4333.6,30817.2,87.2,60.9,143.2,정상
전남,장흥군,34,10815.8,3492.3,22932.4,81.1,65.2,124.4,정상
전남,강진군,29,12089.5,4212.6,32050.1,86.7,63.9,135.8,정상
전남,해남군,79,16208,6026.7,36263.9,73.2,63.2,115.9,정상
전남,영암군,138,14030.09,1745.9,20625.1,78.6,63.4,124,정상
전남,무안군,50,5841.2,802.8,8207.5,87.3,68.9,126.6,정상
전남,함평군,36,11234.8,1888.2,16465,91.7,61.4,149.2,정상
전남,영광군,42,11709.2,5485.5,27332.87,81.4,62.2,130.8,정상
전남,장성군,50,25066,12563.2,123717.5,81.3,58.8,138.2,정상
전남,완도군,9,2294.61,517.76,3280.2,85.4,68.1,125.3,정상
전남,진도군,34,7638.88,2385.03,13742.6,83.7,67.8,123.5,정상
전남,신안군,30,3781,1191.1,7766,88.6,68.4,129.5,정상
경북,포항시,57,36269.7,5754.66,41106.6,89.2,73.7,120.9,정상
경북,경주시,76,44070.7,7786,69336.9,91.5,68.8,133.1,정상
경북,김천시,8,4996,1064.1,6707.56,87,84,103.7,정상
경북,안동시,19,5708.9,1166.3,9186.6,94.7,67.4,140.4,정상
경북,구미시,23,9429,2000.2,15534.17,91.6,76.2,120.2,정상
경북,영주시,7,9530,2194.5,14752.5,96.1,77.7,123.7,정상
경북,영천시,94,18734.2,2509.5,23266.4,89.2,72.2,123.5,정상
경북,상주시,29,26575.7,4387.7,30212.7,95.9,73.2,131.1,정상
