시도,시군,시설개수,유역면적(ha),수혜면적(ha),유효저수량(ha),저수율,평년,대비,단계검증
경북,영양군,28,5779.4,1575.6,10882.37,67.6,76.1,88.8,정상
경북,영덕군,27,14674,2995.6,21476,75.9,68.9,110.2,정상
경북,청도군,21,7346,2075.1,18109.53,64.5,67.1,96.1,정상
경북,고령군,37,5755,950.98,8402.89,67.1,57.3,117.1,정상
경북,성주군,7,19487,4058.9,36430.3,65.5,65.2,100.5,정상
경북,칠곡군,33,10637,1402.9,10539.56,74.8,80.9,92.5,정상
경북,예천군,46,7144.4,1188.4,9666.31,83,70.5,117.7,정상
경북,봉화군,5,6166,817.6,11926.41,81,51.8,156.4,정상
경북,울진군,6,10167,501.9,5011.7,79.4,69.6,114.1,정상
경북,울릉군,0,0,0,0,0,0,100,정상
경남,창원시,15,13191,2740.7,15876.68,60.2,66.3,90.8,정상
경남,진주시,38,6386.3,1899.8,17866.69,59.4,66.5,89.3,정상
경남,통영시,3,752,162,737.2,63,80.1,78.7,관심
경남,사천시,68,11956,2186.9,17158.86,74.8,76.7,97.5,정상
경남,김해시,6,802,241.8,2290.73,79.9,54,148,정상
경남,밀양시,39,13223,3000.6,16249.33,69.2,73.2,94.5,정상
경남,거제시,7,3665,583,2353.11,69.9,80.7,86.6,정상
경남,양산시,3,1553,340.55,970.13,80.6,86.4,93.3,정상
경남,의령군,39,8120.3,1749.8,15242.95,60.7,73.4,82.7,정상
경남,함안군,16,5474.3,1319.4,6083.39,82,66.1,124.1,정상
경남,창녕군,47,15644.5,2139.6,12318.42,60.3,70.7,85.3,정상
경남,고성군,37,10984,3210.3,23104.47,77.5,76.4,101.4,정상
경남,남해군,48,5461.6,1508.59,9855.07,70.3,75.8,92.7,정상
경남,하동군,23,12079.1,4543.05,41533.07,62,67,92.5,정상
경남,산청군,35,16124.1,1662.2,17954.21,67.6,80.6,83.9,정상
경남,함양군,13,9760,1886.4,13511.56,75.6,58.8,128.6,정상
경남,거창군,43,11986,3194.5,21403.54,70.6,66.5,106.2,정상
경남,합천군,83,10577,2272.4,17914.32,69.2,72.5,95.4,정상
제주,제주시,8,4381,2084.1,2455,54.4,50.3,108.2,정상
제주,서귀포시,1,9937,543,1050,75.8,74.8,101.3,정상
