sigungu,well_count,groundwater_well_count,drilling_developed_well_count,unknown_well_count,total_pump_capacity,pump_capacity_valid_count,well_depth_sum,well_depth_valid_count,public_like_well_count,record_used_count,source_zip,source_type,year,snapshot_score,avg_pump_capacity,avg_well_depth,well_count_index,pump_capacity_index,well_support_score,well_shortage_score,well_support_level
홍성군,5408,5408,0,0,244121.47,5069,275613.0,5408,649,5408,지하수 관정현황_컬럼정의서포함20200928.zip,groundwater_well,2020,20200928,48.15969027421582,50.96394230769231,17.4874696847211,31.50738273986096,23.095434906777044,76.90456509322296,낮음
예산군,2081,2081,0,0,115577.5,2064,121416.5,2081,377,2081,지하수 관정현황_컬럼정의서포함20200928.zip,groundwater_well,2020,20200928,55.9968507751938,58.34526669870255,6.729183508488277,14.916936755363135,10.00428480723822,89.99571519276178,낮음
태안군,2167,2167,0,0,56610.69999999995,1449,79671.69,1718,108,2167,지하수 관정현황_컬럼정의서포함20200928.zip,groundwater_well,2020,20200928,39.068806073153866,46.37467403958091,7.007275666936136,7.306424101376438,7.126935040712256,92.87306495928776,낮음
천안시,174,0,174,0,0.0,0,0.0,0,0,174,한국농어촌공사 시추개발 관정 데이터_2021.zip,drilling_developed_well,2021,20210101,,,28.909090909090907,50.0,37.345454545454544,62.654545454545456,낮음
공주시,431,0,431,0,0.0,0,0.0,0,0,431,한국농어촌공사 시추개발 관정 데이터_2021.zip,drilling_developed_well,2021,20210101,,,75.63636363636364,50.0,65.38181818181818,34.618181818181824,높음
보령시,260,0,260,0,0.0,0,0.0,0,0,260,한국농어촌공사 시추개발 관정 데이터_2021.zip,drilling_developed_well,2021,20210101,,,44.54545454545455,50.0,46.72727272727273,53.27272727272727,보통
아산시,241,0,241,0,0.0,0,0.0,0,0,241,한국농어촌공사 시추개발 관정 데이터_2021.zip,drilling_developed_well,2021,20210101,,,41.090909090909086,50.0,44.654545454545456,55.345454545454544,보통
서산시,332,0,332,0,0.0,0,0.0,0,0,332,한국농어촌공사 시추개발 관정 데이터_2021.zip,drilling_developed_well,2021,20210101,,,57.63636363636364,50.0,54.581818181818186,45.41818181818181,보통
논산시,179,0,179,0,0.0,0,0.0,0,0,179,한국농어촌공사 시추개발 관정 데이터_2021.zip,drilling_developed_well,2021,20210101,,,29.818181818181817,50.0,37.89090909090909,62.10909090909091,낮음
계룡시,15,0,15,0,0.0,0,0.0,0,0,15,한국농어촌공사 시추개발 관정 데이터_2021.zip,drilling_developed_well,2021,20210101,,,0.0,50.0,20.0,80.0,낮음
당진시,166,0,166,0,0.0,0,0.0,0,0,166,한국농어촌공사 시추개발 관정 데이터_2021.zip,drilling_developed_well,2021,20210101,,,27.454545454545453,50.0,36.47272727272727,63.52727272727273,낮음
금산군,235,0,235,0,0.0,0,0.0,0,0,235,한국농어촌공사 시추개발 관정 데이터_2021.zip,drilling_developed_well,2021,20210101,,,40.0,50.0,44.0,56.0,보통
부여군,274,0,274,0,0.0,0,0.0,0,0,274,한국농어촌공사 시추개발 관정 데이터_2021.zip,drilling_developed_well,2021,20210101,,,47.090909090909086,50.0,48.25454545454545,51.74545454545455,보통
서천군,137,0,137,0,0.0,0,0.0,0,0,137,한국농어촌공사 시추개발 관정 데이터_2021.zip,drilling_developed_well,2021,20210101,,,22.181818181818183,50.0,33.30909090909091,66.69090909090909,낮음
청양군,137,0,137,0,0.0,0,0.0,0,0,137,한국농어촌공사 시추개발 관정 데이터_2021.zip,drilling_developed_well,2021,20210101,,,22.181818181818183,50.0,33.30909090909091,66.69090909090909,낮음
홍성군,248,0,248,0,0.0,0,0.0,0,0,248,한국농어촌공사 시추개발 관정 데이터_2021.zip,drilling_developed_well,2021,20210101,,,42.36363636363637,50.0,45.41818181818182,54.58181818181818,보통
예산군,565,0,565,0,0.0,0,0.0,0,0,565,한국농어촌공사 시추개발 관정 데이터_2021.zip,drilling_developed_well,2021,20210101,,,100.0,50.0,80.0,20.0,매우높음
태안군,140,0,140,0,0.0,0,0.0,0,0,140,한국농어촌공사 시추개발 관정 데이터_2021.zip,drilling_developed_well,2021,20210101,,,22.727272727272727,50.0,33.63636363636363,66.36363636363637,낮음
천안시,180,0,180,0,0.0,0,0.0,0,0,180,한국농어촌공사_시추개발관정_2023.zip,drilling_developed_well,2023,20230101,,,29.151943462897528,50.0,37.49116607773851,62.50883392226149,낮음
