sigungu,source_zip,source_type,source_dbf,well_id,pnu,si_do,si_gun_gu,address,well_use,well_depth,pump_capacity,public_private,dev_date,year,snapshot_score
공주시,gdb_well_info_new_20231231.zip,groundwater_well,gdb_well_info_new.dbf,441502503300034,4415025033105670001,충청남도,공주시,충청남도 공주시 유구읍 추계리,3.0,30.0,,2.0,,2023,20231231
공주시,gdb_well_info_new_20231231.zip,groundwater_well,gdb_well_info_new.dbf,441502503300127,4415025033107060000,충청남도,공주시,충청남도 공주시 유구읍 추계리,3.0,30.0,,2.0,,2023,20231231
공주시,gdb_well_info_new_20231231.zip,groundwater_well,gdb_well_info_new.dbf,441502503300096,4415025033101490001,충청남도,공주시,충청남도 공주시 유구읍 추계리,3.0,30.0,,2.0,,2023,20231231
공주시,gdb_well_info_new_20231231.zip,groundwater_well,gdb_well_info_new.dbf,441502503300004,4415025033105270009,충청남도,공주시,충청남도 공주시 유구읍 추계리,3.0,30.0,,2.0,,2023,20231231
공주시,gdb_well_info_new_20231231.zip,groundwater_well,gdb_well_info_new.dbf,441502502300061,4415025023100600007,충청남도,공주시,충청남도 공주시 유구읍 석남리,3.0,30.0,,2.0,,2023,20231231
공주시,gdb_well_info_new_20231231.zip,groundwater_well,gdb_well_info_new.dbf,441502502300059,4415025023100600005,충청남도,공주시,충청남도 공주시 유구읍 석남리,3.0,30.0,,2.0,,2023,20231231
공주시,gdb_well_info_new_20231231.zip,groundwater_well,gdb_well_info_new.dbf,441502502300045,4415025023101730000,충청남도,공주시,충청남도 공주시 유구읍 석남리,3.0,30.0,,2.0,,2023,20231231
공주시,gdb_well_info_new_20231231.zip,groundwater_well,gdb_well_info_new.dbf,441502502300037,4415025023101520003,충청남도,공주시,충청남도 공주시 유구읍 석남리,3.0,30.0,,2.0,,2023,20231231
공주시,gdb_well_info_new_20231231.zip,groundwater_well,gdb_well_info_new.dbf,441502502300033,4415025023100950004,충청남도,공주시,충청남도 공주시 유구읍 석남리,3.0,30.0,,2.0,,2023,20231231
공주시,gdb_well_info_new_20231231.zip,groundwater_well,gdb_well_info_new.dbf,441502502300056,4415025023100600002,충청남도,공주시,충청남도 공주시 유구읍 석남리,3.0,30.0,,2.0,,2023,20231231
공주시,gdb_well_info_new_20231231.zip,groundwater_well,gdb_well_info_new.dbf,441502502300047,4415025023101690000,충청남도,공주시,충청남도 공주시 유구읍 석남리,3.0,30.0,,2.0,,2023,20231231
공주시,gdb_well_info_new_20231231.zip,groundwater_well,gdb_well_info_new.dbf,441502502300136,4415025023103570001,충청남도,공주시,충청남도 공주시 유구읍 석남리,3.0,30.0,,2.0,,2023,20231231
공주시,gdb_well_info_new_20231231.zip,groundwater_well,gdb_well_info_new.dbf,441502502300032,4415025023100980001,충청남도,공주시,충청남도 공주시 유구읍 석남리,3.0,30.0,,2.0,,2023,20231231
공주시,gdb_well_info_new_20231231.zip,groundwater_well,gdb_well_info_new.dbf,441502502300040,4415025023100880002,충청남도,공주시,충청남도 공주시 유구읍 석남리,3.0,30.0,,2.0,,2023,20231231
공주시,gdb_well_info_new_20231231.zip,groundwater_well,gdb_well_info_new.dbf,441502502400107,4415025024101380000,충청남도,공주시,충청남도 공주시 유구읍 유구리,3.0,30.0,,2.0,,2023,20231231
공주시,gdb_well_info_new_20231231.zip,groundwater_well,gdb_well_info_new.dbf,441502502400100,4415025024101300000,충청남도,공주시,충청남도 공주시 유구읍 유구리,3.0,30.0,,2.0,,2023,20231231
공주시,gdb_well_info_new_20231231.zip,groundwater_well,gdb_well_info_new.dbf,441502502400077,4415025024101480003,충청남도,공주시,충청남도 공주시 유구읍 유구리,3.0,30.0,,2.0,,2023,20231231
공주시,gdb_well_info_new_20231231.zip,groundwater_well,gdb_well_info_new.dbf,441502502400104,4415025024101490003,충청남도,공주시,충청남도 공주시 유구읍 유구리,3.0,30.0,,2.0,,2023,20231231
공주시,gdb_well_info_new_20231231.zip,groundwater_well,gdb_well_info_new.dbf,441502502400118,4415025024103010000,충청남도,공주시,충청남도 공주시 유구읍 유구리,3.0,30.0,,2.0,,2023,20231231
공주시,gdb_well_info_new_20231231.zip,groundwater_well,gdb_well_info_new.dbf,441502502400085,4415025024102590001,충청남도,공주시,충청남도 공주시 유구읍 유구리,3.0,30.0,,2.0,,2023,20231231
공주시,gdb_well_info_new_20231231.zip,groundwater_well,gdb_well_info_new.dbf,441502502400156,4415025024100000003,충청남도,공주시,충청남도 공주시 유구읍 유구리,3.0,30.0,,2.0,,2023,20231231
공주시,gdb_well_info_new_20231231.zip,groundwater_well,gdb_well_info_new.dbf,441502502400076,4415025024101480004,충청남도,공주시,충청남도 공주시 유구읍 유구리,3.0,30.0,,2.0,,2023,20231231
공주시,gdb_well_info_new_20231231.zip,groundwater_well,gdb_well_info_new.dbf,441502502400083,4415025024102050000,충청남도,공주시,충청남도 공주시 유구읍 유구리,3.0,30.0,,2.0,,2023,20231231
공주시,gdb_well_info_new_20231231.zip,groundwater_well,gdb_well_info_new.dbf,441502502400078,4415025024102290000,충청남도,공주시,충청남도 공주시 유구읍 유구리,3.0,30.0,,2.0,,2023,20231231
공주시,gdb_well_info_new_20231231.zip,groundwater_well,gdb_well_info_new.dbf,441502502400090,4415025024101980000,충청남도,공주시,충청남도 공주시 유구읍 유구리,3.0,30.0,,2.0,,2023,20231231
공주시,gdb_well_info_new_20231231.zip,groundwater_well,gdb_well_info_new.dbf,441502502400080,4415025024102280000,충청남도,공주시,충청남도 공주시 유구읍 유구리,3.0,30.0,,2.0,,2023,20231231
공주시,gdb_well_info_new_20231231.zip,groundwater_well,gdb_well_info_new.dbf,441502502400124,4415025024102600000,충청남도,공주시,충청남도 공주시 유구읍 유구리,3.0,30.0,,2.0,,2023,20231231
공주시,gdb_well_info_new_20231231.zip,groundwater_well,gdb_well_info_new.dbf,441502502400115,4415025024102910004,충청남도,공주시,충청남도 공주시 유구읍 유구리,3.0,30.0,,2.0,,2023,20231231
공주시,gdb_well_info_new_20231231.zip,groundwater_well,gdb_well_info_new.dbf,441502502400116,4415025024102910004,충청남도,공주시,충청남도 공주시 유구읍 유구리,3.0,30.0,,2.0,,2023,20231231
공주시,gdb_well_info_new_20231231.zip,groundwater_well,gdb_well_info_new.dbf,441502502400119,4415025024103030000,충청남도,공주시,충청남도 공주시 유구읍 유구리,3.0,30.0,,2.0,,2023,20231231
공주시,gdb_well_info_new_20231231.zip,groundwater_well,gdb_well_info_new.dbf,441502502400098,4415025024101530002,충청남도,공주시,충청남도 공주시 유구읍 유구리,3.0,30.0,,2.0,,2023,20231231
공주시,gdb_well_info_new_20231231.zip,groundwater_well,gdb_well_info_new.dbf,441502502400093,4415025024101170000,충청남도,공주시,충청남도 공주시 유구읍 유구리,3.0,30.0,,2.0,,2023,20231231
공주시,gdb_well_info_new_20231231.zip,groundwater_well,gdb_well_info_new.dbf,441502502400140,4415025024102480001,충청남도,공주시,충청남도 공주시 유구읍 유구리,3.0,30.0,,2.0,,2023,20231231
공주시,gdb_well_info_new_20231231.zip,groundwater_well,gdb_well_info_new.dbf,441502502400084,4415025024102130003,충청남도,공주시,충청남도 공주시 유구읍 유구리,3.0,30.0,,2.0,,2023,20231231
