date,sigungu,avg_reservoir_rate,min_reservoir_rate,max_reservoir_rate,reservoir_count,low_reservoir_count_40,low_reservoir_count_30,total_effective_capacity,reservoir_risk_score,risk_level_by_reservoir
2021-01-06,부여군,93.91,81.4,100.0,10,0,0,20966.0,6.090000000000003,낮음
2021-01-06,서산시,91.45,71.4,100.0,16,0,0,28672.0,8.549999999999997,낮음
2021-01-06,서천군,94.85714285714286,67.1,100.0,7,0,0,25398.0,5.142857142857139,낮음
2021-01-06,아산시,98.67777777777778,90.5,100.0,18,0,0,25790.0,1.3222222222222229,낮음
2021-01-06,예산군,94.35384615384615,81.8,100.0,13,0,0,59875.0,5.646153846153851,낮음
2021-01-06,천안시,86.02000000000001,31.1,100.0,20,1,0,11580.0,13.97999999999999,낮음
2021-01-06,청양군,97.97777777777777,82.1,100.0,27,0,0,23414.0,2.0222222222222257,낮음
2021-01-06,태안군,90.74444444444445,73.8,100.0,18,0,0,8997.0,9.255555555555546,낮음
2021-01-06,홍성군,96.76666666666667,87.6,100.0,9,0,0,10429.0,3.2333333333333343,낮음
2021-01-07,공주시,93.59166666666665,63.8,100.0,12,0,0,19351.0,6.408333333333346,낮음
2021-01-07,금산군,67.41111111111111,0.0,100.0,9,2,2,5557.0,32.58888888888889,낮음
2021-01-07,논산시,92.0076923076923,82.0,100.0,26,0,0,38123.0,7.992307692307705,낮음
2021-01-07,당진시,75.7,16.2,100.0,10,1,1,5582.0,24.299999999999997,낮음
2021-01-07,보령시,88.36999999999999,39.5,100.0,30,1,0,30030.0,11.63000000000001,낮음
2021-01-07,부여군,93.9,81.6,100.0,10,0,0,20966.0,6.099999999999994,낮음
2021-01-07,서산시,91.525,71.5,100.0,16,0,0,28672.0,8.474999999999994,낮음
2021-01-07,서천군,94.82857142857142,67.1,100.0,7,0,0,25398.0,5.171428571428578,낮음
2021-01-07,아산시,98.6888888888889,90.5,100.0,18,0,0,25790.0,1.311111111111103,낮음
2021-01-07,예산군,94.43076923076923,82.0,100.0,13,0,0,59875.0,5.569230769230771,낮음
2021-01-07,천안시,86.095,31.2,100.0,20,1,0,11580.0,13.905000000000001,낮음
2021-01-07,청양군,97.97777777777777,82.1,100.0,27,0,0,23414.0,2.0222222222222257,낮음
2021-01-07,태안군,91.03333333333333,73.8,100.0,18,0,0,8997.0,8.966666666666669,낮음
2021-01-07,홍성군,96.86666666666666,87.6,100.0,9,0,0,10429.0,3.13333333333334,낮음
2021-01-08,공주시,93.625,63.8,100.0,12,0,0,19351.0,6.375,낮음
2021-01-08,금산군,67.38888888888889,0.0,100.0,9,2,2,5557.0,32.611111111111114,낮음
2021-01-08,논산시,92.38076923076923,83.5,100.0,26,0,0,38123.0,7.619230769230768,낮음
2021-01-08,당진시,75.71000000000001,16.5,100.0,10,1,1,5582.0,24.289999999999992,낮음
2021-01-08,보령시,88.38666666666667,39.5,100.0,30,1,0,30030.0,11.61333333333333,낮음
2021-01-08,부여군,93.92,81.8,100.0,10,0,0,20966.0,6.079999999999998,낮음
2021-01-08,서산시,91.575,71.5,100.0,16,0,0,28672.0,8.424999999999997,낮음
2021-01-08,서천군,94.81428571428572,67.1,100.0,7,0,0,25398.0,5.185714285714283,낮음
2021-01-08,아산시,98.6888888888889,90.5,100.0,18,0,0,25790.0,1.311111111111103,낮음
2021-01-08,예산군,94.45384615384616,82.1,100.0,13,0,0,59875.0,5.546153846153842,낮음
2021-01-08,천안시,86.15,31.3,100.0,20,1,0,11580.0,13.849999999999994,낮음
2021-01-08,청양군,97.96666666666667,82.1,100.0,27,0,0,23414.0,2.0333333333333314,낮음
2021-01-08,태안군,91.28333333333333,73.8,100.0,18,0,0,8997.0,8.716666666666669,낮음
2021-01-08,홍성군,96.87777777777778,87.6,100.0,9,0,0,10429.0,3.12222222222222,낮음
2021-01-09,공주시,93.64166666666667,63.8,100.0,12,0,0,19351.0,6.358333333333334,낮음
2021-01-09,금산군,67.36666666666666,0.0,100.0,9,2,2,5557.0,32.63333333333334,낮음
2021-01-09,논산시,92.43846153846154,83.8,100.0,26,0,0,38123.0,7.561538461538461,낮음
2021-01-09,당진시,75.72999999999999,16.6,100.0,10,1,1,5582.0,24.27000000000001,낮음
