date,sigungu,drought_stage_score,avg_reservoir_rate_from_drought,avg_normal_rate,avg_normal_ratio,normal_ratio_deficit_score,avg_rainfall,record_count,reservoir_rate_risk_from_drought,weather_drought_risk_score,weather_drought_level
2022-09-11,보령시,0,,,,,,1,,0.0,낮음
2022-09-11,부여군,0,,,,,,1,,0.0,낮음
2022-09-11,서산시,0,,,,,,1,,0.0,낮음
2022-09-11,서천군,0,,,,,,1,,0.0,낮음
2022-09-11,아산시,0,,,,,,1,,0.0,낮음
2022-09-11,예산군,0,,,,,,1,,0.0,낮음
2022-09-11,천안시,0,,,,,,1,,0.0,낮음
2022-09-11,청양군,0,,,,,,1,,0.0,낮음
2022-09-11,태안군,0,,,,,,1,,0.0,낮음
2022-09-11,홍성군,0,,,,,,1,,0.0,낮음
2022-10-05,계룡시,0,,,,,,1,,0.0,낮음
2022-10-05,공주시,0,,,,,,1,,0.0,낮음
2022-10-05,금산군,0,,,,,,1,,0.0,낮음
2022-10-05,논산시,0,,,,,,1,,0.0,낮음
2022-10-05,당진시,0,,,,,,1,,0.0,낮음
2022-10-05,보령시,0,,,,,,1,,0.0,낮음
2022-10-05,부여군,0,,,,,,1,,0.0,낮음
2022-10-05,서산시,0,,,,,,1,,0.0,낮음
2022-10-05,서천군,0,,,,,,1,,0.0,낮음
2022-10-05,아산시,0,,,,,,1,,0.0,낮음
2022-10-05,예산군,0,,,,,,1,,0.0,낮음
2022-10-05,천안시,0,,,,,,1,,0.0,낮음
2022-10-05,청양군,0,,,,,,1,,0.0,낮음
2022-10-05,태안군,0,,,,,,1,,0.0,낮음
2022-10-05,홍성군,0,,,,,,1,,0.0,낮음
2022-11-01,계룡시,0,,,,,,1,,0.0,낮음
2022-11-01,공주시,0,,,,,,1,,0.0,낮음
2022-11-01,금산군,0,,,,,,1,,0.0,낮음
2022-11-01,논산시,0,,,,,,1,,0.0,낮음
2022-11-01,당진시,0,,,,,,1,,0.0,낮음
2022-11-01,보령시,0,,,,,,1,,0.0,낮음
2022-11-01,부여군,0,,,,,,1,,0.0,낮음
2022-11-01,서산시,0,,,,,,1,,0.0,낮음
2022-11-01,서천군,0,,,,,,1,,0.0,낮음
2022-11-01,아산시,0,,,,,,1,,0.0,낮음
2022-11-01,예산군,0,,,,,,1,,0.0,낮음
2022-11-01,천안시,0,,,,,,1,,0.0,낮음
2022-11-01,청양군,0,,,,,,1,,0.0,낮음
2022-11-01,태안군,0,,,,,,1,,0.0,낮음
2022-11-01,홍성군,0,,,,,,1,,0.0,낮음
2022-12-05,계룡시,0,,,,,,1,,0.0,낮음
2022-12-05,공주시,0,,,,,,1,,0.0,낮음
