표준코드,facility_name,address,benefit_area,total_capacity,effective_capacity,basin_area,full_water_area,start_year,completion_year,source_file,본부,지사,sigungu
4423010073,서당,충청남도 논산시 양촌면 반곡리,12.0,17.0,13.0,19.0,1.0,1945-01-01,1945-12-30,농업기반시설_저수지_2021_v3.csv,,,논산시
4423010080,강청,충청남도 논산시 가야곡면 강청리,70.0,323.0,234.0,178.0,7.0,1975-12-01,1976-12-30,농업기반시설_저수지_2021_v3.csv,,,논산시
4423010081,국동,충청남도 논산시 가야곡면 함적리,9.0,12.0,10.0,43.0,1.0,1945-01-01,1946-12-30,농업기반시설_저수지_2021_v3.csv,,,논산시
4423010085,유와골,충청남도 논산시 은진면 용산리,14.0,8.0,8.0,35.0,1.0,1957-01-01,1961-12-30,농업기반시설_저수지_2021_v3.csv,,,논산시
4423010086,성덕,충청남도 논산시 은진면 성덕리,4.0,2.0,2.0,15.0,0.0,1935-01-01,1935-12-31,농업기반시설_저수지_2021_v3.csv,,,논산시
4423010087,수락,충청남도 논산시 벌곡면 수락리,192.0,921.0,856.0,621.0,12.0,2000-01-03,2002-12-31,농업기반시설_저수지_2021_v3.csv,,,논산시
4471010014,화림,충청남도 금산군 금성면 화림리,95.0,390.0,390.0,466.0,10.0,1950-04-20,1956-12-28,농업기반시설_저수지_2021_v3.csv,,,금산군
4471010057,홍도,충청남도 금산군 남일면 신정리,30.0,55.0,55.0,230.0,2.0,1971-10-01,1974-01-01,농업기반시설_저수지_2021_v3.csv,,,금산군
4471010058,신동,충청남도 금산군 남일면 신동리,60.0,1887.0,1881.0,670.0,20.0,1956-01-01,1961-01-01,농업기반시설_저수지_2021_v3.csv,,,금산군
4471010071,청림,충청남도 금산군 진산면 행정리,85.0,691.0,679.0,480.0,10.0,1967-01-01,1970-01-01,농업기반시설_저수지_2021_v3.csv,,,금산군
4471010082,지동,충청남도 금산군 추부면 용지리,59.0,164.0,164.0,280.0,7.0,1952-03-20,1958-01-01,농업기반시설_저수지_2021_v3.csv,,,금산군
4471010087,장산,충청남도 금산군 추부면 요광리,16.0,222.0,220.0,186.0,6.0,1952-03-20,1958-01-01,농업기반시설_저수지_2021_v3.csv,,,금산군
4471010088,동곡,충청남도 금산군 제원면 동곡리,124.0,848.0,826.0,450.0,9.0,1997-12-04,2002-12-31,농업기반시설_저수지_2021_v3.csv,,,금산군
4471010089,숭암,충청남도 금산군 추부면 장대리,95.0,438.0,414.0,358.0,10.0,1952-12-26,1958-01-01,농업기반시설_저수지_2021_v3.csv,,,금산군
4471010090,석동,충청남도 금산군 남이면 석동리,151.0,993.0,928.0,323.0,10.0,1998-12-24,2005-12-26,농업기반시설_저수지_2021_v3.csv,,,금산군
4476010006,반산,충청남도 부여군 규암면 석우리,765.0,5692.0,5652.0,1740.0,125.0,1946-06-01,1956-06-30,농업기반시설_저수지_2021_v3.csv,,,부여군
4476010042,상천,충청남도 부여군 홍산면 상천리,183.0,684.0,615.0,353.0,11.0,1942-01-01,1943-12-01,농업기반시설_저수지_2021_v3.csv,,,부여군
4476010046,옥산,충청남도 부여군 옥산면 봉산리,482.0,2682.0,2413.0,1700.0,73.0,1929-04-01,1930-09-01,농업기반시설_저수지_2021_v3.csv,,,부여군
4476010060,복심,충청남도 부여군 충화면 복금리,479.0,4711.0,4706.0,1761.0,96.0,1929-04-01,1930-09-01,농업기반시설_저수지_2021_v3.csv,,,부여군
4476010069,덕용,충청남도 부여군 양화면 송정리,1071.0,5661.0,5661.0,1580.0,86.0,1943-12-06,1955-05-31,농업기반시설_저수지_2021_v3.csv,,,부여군
4476010076,가신,충청남도 부여군 임천면 가신리,62.0,433.0,426.0,200.0,13.0,1940-11-01,1941-12-01,농업기반시설_저수지_2021_v3.csv,,,부여군
4476010084,두곡,충청남도 부여군 임천면 두곡리,22.0,111.0,100.0,92.0,3.0,1943-01-01,1944-12-01,농업기반시설_저수지_2021_v3.csv,,,부여군
4476010094,마하동,충청남도 부여군 세도면 귀덕리,36.0,137.0,129.0,65.0,6.0,1944-01-01,1945-05-31,농업기반시설_저수지_2021_v3.csv,,,부여군
4476010095,삼산,충청남도 부여군 외산면 삼산리,80.0,546.0,543.0,180.0,5.0,2001-12-17,2009-12-30,농업기반시설_저수지_2021_v3.csv,,,부여군
4476010096,화성,충청남도 부여군 외산면 화성리,80.0,724.0,721.0,205.0,9.0,2001-12-17,2009-12-30,농업기반시설_저수지_2021_v3.csv,,,부여군
4476010243,초촌,충청남도 부여군 초촌면 세탑리,0.0,1034.0,942.0,239.0,104.0,2017-05-15,2021-12-15,농업기반시설_저수지_2021_v3.csv,,,부여군
4477010004,축동,충청남도 서천군 한산면 축동리,370.0,1707.0,1491.0,752.0,82.0,1945-09-01,1955-05-31,농업기반시설_저수지_2021_v3.csv,,,서천군
4477010006,동부,충청남도 서천군 시초면 봉선리,2477.0,12182.0,10734.0,2834.0,244.0,1923-11-17,1926-06-10,농업기반시설_저수지_2021_v3.csv,,,서천군
4477010007,문산,충청남도 서천군 문산면 신농리,261.0,973.0,973.0,960.0,37.0,1957-12-15,1964-12-04,농업기반시설_저수지_2021_v3.csv,,,서천군
4477010010,종천,충청남도 서천군 판교면 상좌리,385.0,3381.0,3353.0,1200.0,50.0,1956-10-21,1962-05-31,농업기반시설_저수지_2021_v3.csv,,,서천군
4477010011,서부,충청남도 서천군 판교면 흥림리,1627.0,8018.0,7989.0,3039.0,125.0,1923-11-17,1926-06-10,농업기반시설_저수지_2021_v3.csv,,,서천군
4477010015,안치,충청남도 서천군 비인면 성북리,53.0,167.0,167.0,110.0,4.0,1943-09-04,1945-09-20,농업기반시설_저수지_2021_v3.csv,,,서천군
4477010020,주항,충청남도 서천군 서면 주항리,163.0,744.0,691.0,367.0,32.0,1946-11-01,1958-08-28,농업기반시설_저수지_2021_v3.csv,,,서천군
4479010002,적누,충청남도 청양군 청양읍 적누리,164.0,2626.0,2611.0,452.0,23.0,1985-08-12,1997-12-31,농업기반시설_저수지_2021_v3.csv,,,청양군
4479010014,모곡,충청남도 청양군 운곡면 모곡리,13.0,8.0,8.0,58.0,2.0,1977-01-01,1978-12-31,농업기반시설_저수지_2021_v3.csv,,,청양군
4479010015,신대(운곡),충청남도 청양군 운곡면 신대리,191.0,2990.0,2930.0,962.0,28.0,1975-11-17,1977-12-20,농업기반시설_저수지_2021_v3.csv,,,청양군
4479010033,천장,충청남도 청양군 정산면 천장리,551.0,2882.0,2878.0,1270.0,24.0,1972-12-14,1978-12-31,농업기반시설_저수지_2021_v3.csv,,,청양군
4479010038,내지곡,충청남도 청양군 목면 지곡리,18.0,3.0,3.0,32.0,1.0,1943-01-01,1945-12-31,농업기반시설_저수지_2021_v3.csv,,,청양군
4479010041,아산,충청남도 청양군 청남면 아산리,20.0,9.0,9.0,29.0,2.0,1943-01-01,1945-12-31,농업기반시설_저수지_2021_v3.csv,,,청양군
4479010044,도림,충청남도 청양군 장평면 적곡리,482.0,3829.0,3776.0,650.0,26.0,1987-12-01,2001-12-15,농업기반시설_저수지_2021_v3.csv,,,청양군
4479010046,관현(갓고개),충청남도 청양군 장평면 관현리,20.0,4.0,4.0,78.0,1.0,1943-01-01,1945-12-31,농업기반시설_저수지_2021_v3.csv,,,청양군
4479010061,화암,충청남도 청양군 화성면 화암리,69.0,414.0,401.0,170.0,7.0,1943-11-11,1945-03-30,농업기반시설_저수지_2021_v3.csv,,,청양군
